	Iteration	Sample_name	Coverage	Difference
346	346	V467	99.98846065	0.001098986
347	347	V223	99.98955964	0.001098986
348	348	V87	99.99065862	0.001098986
349	349	V501	99.99175761	0.001098986
350	350	V220	99.99285659	0.001098986
351	351	V196	99.99395558	0.001098986
352	352	V131	99.99505456	0.001098986
353	353	V435	99.99615355	0.001098986
354	354	V155	99.99725254	0.001098986
355	355	V266	99.99835152	0.001098986
356	356	V314	100	0.001648478
